Company,ProjectName,JobTitle,Languages,IDE,Platforms,Description,DB,TypeOfJob,Date
United States of America,Master’s degree,Data Engineer,Python;R;SQL,Visual Studio;PyCharm;Sublime Text,Scikit-learn;TensorFlow;Keras;PyTorch,Analyze and understand data to influence product or business decisions;Do research that advances the state of the art of machine learning,PostgresSQL,Professional,19 may 2022
United States of America,Master’s degree,Data Scientist,Python;SQL;Bash,PyCharm,Scikit-learn;TensorFlow;Keras;Xgboost,Analyze and understand data to influence product or business decisions;Build and/or run a machine learning service that operationally improves my product or workflows;Experimentation and iteration to improve existing ML models,MySQL,Professional,20 may 2022
Japan,Master’s degree,Software Engineer,Python,,,,Not Specified,Professional,21 may 2022
India,Bachelor’s degree,Data Analyst,Python;R,"Jupyter (JupyterLab, Jupyter Notebooks, etc);RStudio",,,Not Specified,Professional,22 may 2022
Germany,Doctoral degree,Data Scientist,Python;SQL;Bash,"Jupyter (JupyterLab, Jupyter Notebooks, etc);PyCharm;Sublime Text;Vim / Emacs",Scikit-learn;TensorFlow;Keras;PyTorch;LightGBM,Build prototypes to explore applying machine learning to new areas;Build and/or run a machine learning service that operationally improves my product or workflows;Experimentation and iteration to improve existing ML models,Microsoft Azure Data Lake Storage,Professional,23 may 2022
United States of America,Doctoral degree,Research Scientist,R,RStudio,Tidymodels,Analyze and understand data to influence product or business decisions,Not Specified,Professional,24 may 2022
Canada,Bachelor’s degree,Data Engineer,Python;SQL;MATLAB,"Jupyter (JupyterLab, Jupyter Notebooks, etc)",TensorFlow;PyTorch,Analyze and understand data to influence product or business decisions,Not Specified,Professional,25 may 2022
Russia,Bachelor’s degree,Data Scientist,Python;SQL,"Jupyter (JupyterLab, Jupyter Notebooks, etc);PyCharm;Spyder",Scikit-learn;TensorFlow;Keras;PyTorch;Xgboost,Analyze and understand data to influence product or business decisions;Experimentation and iteration to improve existing ML models,MySQL,Professional,26 may 2022
Canada,Master’s degree,Product/Project Manager,Python,"Jupyter (JupyterLab, Jupyter Notebooks, etc);Spyder",None,Build and/or run a machine learning service that operationally improves my product or workflows,Amazon Redshift,Professional,27 may 2022
Netherlands,Bachelor’s degree,Software Engineer,Python,PyCharm;Vim / Emacs,Scikit-learn;TensorFlow;Keras;PyTorch;Fast.ai;Xgboost;LightGBM;CatBoost,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data;Build and/or run a machine learning service that operationally improves my product or workflows",PostgresSQL,Professional,28 may 2022
